timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763938709,1.9000000000000001,-8.6,9.8,-1.4,0.8,-114.00000000000001
1778763938726,0.9,-8.3,9.4,-0.9000000000000001,-0.1,-168.3
1778763938742,0.30000000000000004,-9.3,9.8,-3.1,-0.1,-226.00000000000003
1778763938759,-0.2,-10.8,9.4,-4.5,1.8000000000000003,-254.9
1778763938776,-2.4000000000000004,-12,9.5,-4.300000000000001,0.30000000000000004,-322.70000000000005
1778763938793,-5,-13.5,10.200000000000001,-5.300000000000001,2.2,-399.6
1778763938810,-6.7,-13.3,8.9,-4,1.9,-437.5
1778763938826,-10,-13,8.3,-8.3,4.4,-509.4000000000001
1778763938842,-14.100000000000001,-7.2,10.200000000000001,-8.5,12.7,-554.6999999999999
1778763938859,-14.600000000000001,-4.6000000000000005,10.700000000000001,-9.2,5.6,-564.1
1778763938876,-20.6,-2.8000000000000003,7.2,-1,8.100000000000001,-560.3000000000001
1778763938893,-12.4,-5.1000000000000005,10.9,-2.6,-6.2,-551.2
1778763938910,-14,-4.7,10.8,-4.9,9,-546.5
1778763938926,-15.3,-2.4000000000000004,10.4,-7.9,4.7,-537.7
1778763938943,-14.100000000000001,-2.2,11.5,-8.600000000000001,2.9,-535.2
1778763938960,-13.600000000000001,-3.4000000000000004,8.5,-7,3.8,-530.5
1778763938976,-14.8,-3.3000000000000003,10.700000000000001,-6.300000000000001,6.300000000000001,-524.7
1778763938992,-13.8,-3.4000000000000004,10.9,-4,2.2,-521.2
1778763939009,-13.3,-3.2,9.600000000000001,-3.4,3.1,-515.5
1778763939026,-13.200000000000001,-3.2,10,-6.2,3.5,-510.5
1778763939043,-12.8,-3.2,10,-5.7,2.4000000000000004,-507.49999999999994
1778763939059,-12.700000000000001,-3.1,10.600000000000001,-6.300000000000001,1.7,-501.90000000000003
1778763939075,-12.600000000000001,-3.1,9.9,-4.7,1.2000000000000002,-496.2
1778763939092,-12.3,-3,10.8,-7.9,5.7,-493.30000000000007
1778763939109,-12.5,-3.1,10.9,-5.1000000000000005,4.300000000000001,-488.4000000000001
1778763939126,-11.8,-2.8000000000000003,10.4,-3,3.4,-485.20000000000005
1778763939142,-11.200000000000001,-3.1,9.8,-2.9,1.5,-480.8
1778763939160,-11,-2.8000000000000003,9.700000000000001,-2.6,4.6,-475.4000000000001
1778763939175,-10.8,-2.7,8.8,-1.8000000000000003,4.9,-470.40000000000003
1778763939192,-11.200000000000001,-2.5,10.9,-5.300000000000001,3.8,-468.4
1778763939209,-10.3,-2.6,9.700000000000001,-4.300000000000001,3.8,-462.9
1778763939226,-10.600000000000001,-2.5,9.9,-0.5,7.400000000000001,-459.99999999999994
1778763939243,-10.3,-2.3000000000000003,10.200000000000001,-3.8,4.9,-454.40000000000003
